"","beta[2]","beta[4]","beta[15]","beta[26]","beta[29]","beta[41]","beta[52]","beta[64]","beta[81]","beta[86]","beta[87]","beta[105]","beta[133]","beta[148]","beta[158]","beta[162]","beta[165]","beta[209]","beta[228]","beta[241]"
"208",0,1.62406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.51427,0
"209",0,1.87597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.54247,0
"210",0,2.32501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.87268,0
"211",0,1.6551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.65143,0
"212",0,1.75598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.41921,0
"213",0,1.56275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.65661,0
"214",0,1.58352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.11073,0
"215",0,1.51506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.89556,0
"216",0,1.64564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.77495,0
"217",0,1.58049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0405,0
"218",0,1.59288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.25316,0
"219",0,1.27625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.37545,0
"220",0,1.22019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.67375,0
"221",0,1.39114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.45173,0
"222",0,0.879925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6743,0
"223",0,0.849346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.97037,0
"224",0,1.18317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.64602,0
"225",0,1.37979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.73717,0
"226",0,1.39594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.37721,0
"227",0,1.17876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5902,0
"228",0,0.97071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.57808,0
"229",0,0.451779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5548,0
"230",0,0.894242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.50331,0
"231",0,0.76779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81216,0
"232",0,0.856056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.26289,0
"233",0,0.922695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.88222,0
"234",0,0.937454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.82375,0
"235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93243,0
"236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.77713,0
"237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.35562,0
"238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.30361,0
"239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.41707,0
"240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38511,0
"241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.89042,0
"242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.69837,0
"243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.74445,0
"244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.00268,0
"245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8188,0
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.83143,0
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71011,0
"248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.37346,0
"249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4862,0
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.26685,0
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.68882,0
"252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0198,0
"253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3666,0
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.42557,0
"255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6734,0
"256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.52903,0
"257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.48926,0
"258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.1933,0
"259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.44921,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.33877,0
"261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.32398,0
"262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19703,0
"263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6659,0
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.9659,0
"265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.23277,0
"266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66969,0
"267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.40449,0
"268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36586,0
"269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27956,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.14022,0
"271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71699,-0.413339
"272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.33677,0
"273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.16564,0
"274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47357,0
"275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.53281,0
"276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3912,0
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.62645,0
"278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.73418,0
