"","x"
"1143",14.1157
"1144",11.8012
"1145",11.5405
"1146",11.6177
"1147",11.3447
"1148",11.7861
"1149",11.7372
"1150",12.0647
"1151",11.6772
"1152",11.9071
"1153",11.9197
"1154",11.523
"1155",11.3897
"1156",13.2275
"1157",12.1309
"1158",12.6104
"1159",12.562
"1160",12.4108
"1161",12.3826
"1162",12.3721
"1163",12.2982
"1164",12.2317
"1165",12.4567
"1166",12.4758
"1167",12.1531
"1168",12.134
"1169",11.9341
"1170",11.9226
"1171",12.0662
"1172",11.6151
"1173",11.6188
"1174",11.5438
"1175",12.4097
"1176",11.8024
"1177",12.1646
"1178",12.3742
"1179",12.8247
"1180",13.382
"1181",13.2241
"1182",12.9912
"1183",13.3383
"1184",13.2573
"1185",12.823
"1186",12.4008
"1187",12.4287
"1188",12.238
"1189",11.9005
"1190",12.1859
"1191",12.6689
"1192",11.6405
"1193",11.9619
"1194",12.3576
"1195",12.1698
"1196",11.385
"1197",11.1464
"1198",11.4752
"1199",12.0381
"1200",12.1665
"1201",11.7825
"1202",13.9346
"1203",15.6796
"1204",15.6498
"1205",16.3155
"1206",16.1378
"1207",15.9958
"1208",15.1492
"1209",16.048
"1210",15.6322
"1211",16.222
"1212",14.4032
"1213",14.2679
"1214",14.2205
"1215",14.321
"1216",13.7162
"1217",14.4276
"1218",14.2635
"1219",14.0548
"1220",17.1672
"1221",17.6699
"1222",15.245
"1223",15.0024
"1224",15.3053
"1225",16.3296
"1226",17.4335
"1227",17.1864
"1228",14.8108
"1229",15.7086
"1230",15.0545
"1231",14.8707
"1232",13.5467
"1233",14.231
"1234",15.7661
"1235",16.2105
"1236",15.4861
"1237",15.6441
"1238",15.1791
"1239",14.344
"1240",14.761
"1241",14.0661
"1242",14.0777
"1243",14.1063
"1244",14.2281
"1245",14.9195
"1246",14.2584
"1247",15.2373
"1248",16.2888
"1249",13.7002
"1250",14.5631
"1251",14.9791
"1252",14.8121
"1253",13.2176
"1254",13.2345
"1255",13.9412
"1256",13.9108
"1257",13.5838
"1258",13.8899
"1259",14.2811
"1260",14.6179
"1261",14.3716
"1262",15.1608
